X,Y,Z
2078,5274,19023
2105,5220,19014
2127,5263,19062
2150,5202,19014
2166,5232,19015
2186,5170,18967
2210,5218,19034
2226,5148,18959
2248,5192,19016
2276,5150,19044
2284,5161,18970
2310,5117,18988
2337,5170,19082
2358,5114,19054
2371,5134,19016
2395,5086,19027
2413,5116,19037
2430,5055,18989
2446,5081,18980
2475,5046,19037
2493,5075,19038
2520,5035,19075
2526,5040,18981
2555,5004,19037
2574,5033,19038
2591,4975,19009
2608,5001,19000
2632,4957,19030
2659,5001,19085
2667,4927,19001
2688,4959,19011
2705,4902,18992
2722,4927,18983
2746,4883,19012
2765,4911,19012
2782,4856,18993
2807,4892,19031
2826,4842,19031
2840,4860,18994
2857,4806,18984
2888,4852,19060
2902,4794,19042
2922,4821,19032
2934,4760,19004
2956,4789,19015
2976,4742,19033
2988,4756,18977
3012,4715,19024
3035,4744,19034
3052,4694,19043
3069,4715,19016
3087,4665,19034
3105,4687,19006
3125,4641,19044
3142,4661,19016
3155,4605,18998
3180,4637,19027
3198,4588,19045
3210,4600,18980
3222,4544,18970
3255,4586,19037
3268,4531,19036
3287,4552,19018
3308,4510,19065
3319,4519,18991
3333,4468,19000
3359,4497,19019
3378,4453,19056
3391,4465,19001
3402,4409,18991
3431,4442,19029
3435,4379,18992
3461,4407,19001
3469,4349,18983
3498,4381,19011
3512,4332,19040
3529,4348,19003
3543,4298,19021
3565,4321,19012
3575,4266,19012
3597,4289,19003
3608,4235,19002
3639,4267,19041
3637,4201,18984
3670,4235,19032
3684,4186,19061
3700,4200,19023
3711,4148,19032
3734,4170,19024
3739,4112,19004
3769,4140,19033
3773,4083,19014
3798,4105,19015
3805,4051,19015
3836,4080,19043
3836,4019,19015
3866,4046,19034
3864,3983,18997
3891,4007,19007
3907,3963,19053
3925,3976,19017
3930,3922,19016
3958,3946,19026
3959,3887,19007
3988,3911,19017
3997,3861,19046
4019,3878,19028
4021,3822,19018
4049,3845,19028
4049,3786,19009
4080,3811,19028
4083,3757,19027
4108,3776,19018
4103,3714,18981
4136,3739,19010
4138,3685,19009
4168,3707,19019
4172,3655,19038
4194,3670,19010
4200,3620,19039
4226,3638,19030
4221,3578,19001
4252,3601,19021
4250,3544,19002
4273,3559,18983
4286,3515,19039
4309,3531,19021
4305,3473,19003
4335,3493,19012
4331,3436,19003
4364,3459,19022
4356,3398,18993
4386,3418,19004
4387,3366,19013
4413,3382,19004
4418,3332,19032
4448,3352,19042
4433,3288,18985
4473,3314,19033
4473,3261,19051
4495,3274,19014
4481,3212,18976
4525,3240,19043
4527,3189,19061
4540,3195,18996
4527,3134,18958
4570,3160,19015
4556,3100,18977
4602,3128,19044
4584,3065,18997
4620,3085,19016
4608,3027,18997
4648,3049,19035
4635,2990,19006
4675,3013,19055
4665,2956,19035
4696,2973,19046
4690,2919,19045
4713,2930,19018
4702,2874,19008
4736,2891,19017
4723,2834,18999
4755,2849,18999
4756,2801,19046
4780,2812,19019
4762,2752,18980
4797,2769,19000
4789,2716,18999
4823,2732,19019
4812,2677,19009
4838,2688,18991
4828,2635,18991
4866,2653,19019
4853,2597,19010
4897,2617,19058
4875,2558,19019
4915,2576,19058
4910,2525,19076
4914,2524,18973
4920,2480,19039
4941,2488,19002
4929,2434,19001
4968,2450,19031
4946,2392,18992
4986,2408,19021
4969,2353,19011
4995,2363,18984
4979,2308,18973
5014,2322,18994
5006,2272,19012
5037,2283,19013
5015,2226,18984
5061,2244,19031
5043,2189,19021
5074,2200,19023
5063,2149,19041
5086,2156,18995
5067,2102,18984
5112,2118,19042
5093,2064,19023
5122,2073,19014
5108,2022,19023
5136,2030,19005
5109,1974,18967
5152,1987,19005
5139,1937,19024
5158,1941,18967
5146,1892,18995
5190,1905,19034
5160,1849,18986
5198,1860,19016
5174,1807,18996
5220,1820,19044
5185,1763,18978
